time,ultrasonic,sheepCount
1585150551.261085,148,2
1585150551.323521,148,2
1585150551.385934,148,2
1585150551.448410,148,2
1585150551.510829,148,2
1585150551.573255,148,2
1585150551.635711,148,2
1585150551.698209,148,2
1585150551.760631,148,2
1585150551.823059,148,2
1585150551.885516,148,2
1585150551.948042,148,2
1585150552.010473,148,2
1585150552.072894,148,2
1585150552.135322,148,2
1585150552.197740,148,2
1585150552.260192,148,2
1585150552.322602,148,2
1585150552.385037,148,2
1585150552.447457,148,2
1585150552.509864,148,2
1585150552.572281,148,2
1585150552.634691,148,2
1585150552.697134,148,2
1585150552.759548,148,2
1585150552.821975,148,2
1585150552.884383,148,2
1585150552.946889,148,2
1585150553.009302,148,2
1585150553.071708,148,2
1585150553.134155,148,2
1585150553.196569,148,2
1585150553.259007,148,2
1585150553.321457,148,2
1585150553.383883,148,2
1585150553.446364,148,2
1585150553.508860,148,2
1585150553.571328,148,2
1585150553.633836,148,2
1585150553.696268,148,2
1585150553.758702,148,2
1585150553.821144,20,2
1585150553.883581,148,2
1585150553.946064,18,2
1585150554.008502,18,2
1585150554.070936,16,2
1585150554.133348,16,2
1585150554.195783,149,2
1585150554.258336,15,2
1585150554.320755,16,3
1585150554.383169,16,3
1585150554.445582,14,3
1585150554.508061,15,3
1585150554.570507,17,3
1585150554.632934,15,3
1585150554.695352,17,3
1585150554.757774,16,3
1585150554.820197,18,3
1585150554.882646,17,3
1585150554.945093,18,3
1585150555.007533,16,3
1585150555.069968,17,3
1585150555.132394,17,3
1585150555.194811,17,3
1585150555.257275,18,3
1585150555.319807,18,3
1585150555.382284,22,3
1585150555.444710,18,3
1585150555.507174,20,3
1585150555.569610,23,3
1585150555.632038,19,3
1585150555.694454,19,3
1585150555.756919,20,3
1585150555.819337,20,3
1585150555.881779,23,3
1585150555.944225,19,3
1585150556.006656,19,3
1585150556.069080,19,3
1585150556.131508,27,3
1585150556.193924,21,3
1585150556.256391,148,3
1585150556.318817,148,3
1585150556.381234,148,3
1585150556.443650,148,3
1585150556.506076,148,3
1585150556.568533,148,3
1585150556.630972,148,3
1585150556.693412,148,3
1585150556.755817,148,3
1585150556.818313,148,3
1585150556.880771,148,3
1585150556.943243,148,3
1585150557.005730,148,3
1585150557.068252,148,3
1585150557.130681,148,3
1585150557.193099,148,3
1585150557.255524,148,3
1585150557.318020,148,3
1585150557.380452,148,3
1585150557.442882,148,3
1585150557.505314,148,3
1585150557.567796,148,3
1585150557.630224,148,3
1585150557.692628,148,3
1585150557.755038,148,3
1585150557.817473,148,3
1585150557.879909,148,3
1585150557.942359,148,3
1585150558.004775,148,3
1585150558.067204,148,3
1585150558.129657,148,3
1585150558.192082,148,3
1585150558.254497,148,3
1585150558.316913,148,3
1585150558.379327,148,3
1585150558.441737,148,3
1585150558.504144,148,3
1585150558.566555,148,3
1585150558.628965,148,3
1585150558.691374,148,3
1585150558.753788,148,3
1585150558.816213,148,3
1585150558.878666,148,3
